id,neighbourhood_group,room_type,price,rating,bedrooms,beds,baths,reviews_per_month,price_pred,residual,RPI,EI,RPI_by_neigh_group
874094083624913235,Queens,Entire home/apt,85,,1,2,1,0.28,,,,0.016206482592064437,
586717934461828853,Queens,Private room,70,4.64,1,1,1,0.52,60.913467197869124,9.086532802130876,0.088001234,0.030612244896121715,0.1278763592783227
939657,Manhattan,Entire home/apt,80,4.74,1,2,1,0.66,205.24419674595734,-125.2441967,-1.212964741,0.008611553,-0.979910768
30627356,Manhattan,Private room,157,5,2,2,2,4.29,243.12432401960479,-86.12432402,-0.834096678,0.056703763,-0.67383683
922763290425504533,Brooklyn,Entire home/apt,111,5,1,2,1,0.96,172.6352376089915,-61.63523761,-0.596924823,0.070007369,-0.647322194
48828867,Queens,Entire home/apt,80,4.73,1,1,1,3.86,119.88878626980733,-39.88878627,-0.386314836,0.23109243696091883,-0.561361839
694085224169979111,Manhattan,Private room,60,4.81,1,1,1,4.78,134.61179075242475,-74.61179075,-0.722600119,0.063195548,-0.583762754
21551829,Queens,Private room,61,4.53,1,1,1.5,1.53,81.25046024219074,-20.25046024,-0.196121616,0.091236495,-0.284988255
44004162,Manhattan,Entire home/apt,80,4.77,2,2,1,2.91,239.04462215390103,-159.0446222,-1.540315032,0.038420774,-1.244365344
880704288932050723,Manhattan,Private room,75,5,1,1,1.5,0.44,167.38269204619013,-92.38269205,-0.894707708,0.005696873,-0.72280231
679750050214460766,Queens,Entire home/apt,375,4.61,3,4,2,1.54,284.6869915714903,90.31300843,0.8746632398324028,0.091836735,1.2709907029218344
571041527664770052,Queens,Private room,45,,1,1,1,0.06,,,,0.0030012,
746308764427076682,Brooklyn,Entire home/apt,120,4.67,2,3,1,3.32,209.80347777223375,-89.80347777,-0.869728538,0.24392041265704345,-0.943158273
9898022,Queens,Entire home/apt,100,4.86,1,2,1,0.08,143.56531783253067,-43.56531783,-0.421921301,0.004201681,-0.613102308
955948129360696945,Manhattan,Entire home/apt,361,,1,1,1,1.4,,,,0.018415474,
42997858,Manhattan,Entire home/apt,197,5,1,2,1,0.32,216.0202505621419,-19.02025056,-0.184207284,0.004107048,-0.148814467
33560323,Brooklyn,Entire home/apt,61,4.82,0,2,1,0.88,132.61785807632592,-71.61785808,-0.693604486,0.064112012,-0.75216436
29512260,Manhattan,Entire home/apt,298,4.93,2,2,2,1.13,295.4682253585063,2.531774641493712,0.024519725884345936,0.014838367779347663,0.019808608293632183
